run,sharpe,ann_return,max_drawdown,win_rate,n_trades
1,-0.43715473738096433,-0.1281019123843411,-0.8401362682579538,0.4650943396226415,675
2,-0.6561307939747515,-0.19172260986788037,-0.9574793246265596,0.45642633228840124,721
3,0.038586271488500135,0.011245957496140324,-0.5285477162215781,0.4825196850393701,674
4,0.14775368089593235,0.04343140106214505,-0.6149567320134814,0.47053261897258114,660
5,-0.4154569300969822,-0.12104084595349807,-0.8687984967190513,0.46788413098236775,733
6,-0.13364350915561124,-0.03956728839072732,-0.7511541992752164,0.47412982126058323,684
7,0.20635286226298113,0.06125571843795541,-0.7150162783584322,0.47800125707102453,657
8,-0.4752763550537328,-0.13871475419496704,-0.8697887344210964,0.4671280276816609,689
9,-0.031674823441299814,-0.009341839841635835,-0.5785020291732026,0.47937007874015747,672
10,-0.32331355939450085,-0.09376650544659249,-0.857863211822312,0.4759660697455231,711
11,0.021147728071615628,0.00632057318481527,-0.6832911808551816,0.4791339818010668,665
12,-0.182710331372637,-0.050954407222919995,-0.8262864596966037,0.4693492612386042,735
13,-0.3502766934614548,-0.10303924835643341,-0.8089215268260548,0.46467817896389324,691
14,-0.3731009762266978,-0.10948652509221657,-0.88582131289256,0.4622404027690371,698
15,0.440321945706288,0.1273032181944609,-0.4941781247606427,0.4882038376848065,649
16,0.3332847446215748,0.09760678807833933,-0.6375362300014196,0.4812951901917636,669
17,0.10507684469501853,0.031381075764532085,-0.6926032643302131,0.47632486672938223,681
18,-0.1930022886147699,-0.057375559374846286,-0.7031170085226225,0.45905240037652967,692
19,-0.18339041984841767,-0.05407409078141234,-0.6109924821716056,0.4742462311557789,682
20,-0.5171347706851744,-0.15195724087134277,-0.9056217172819645,0.4669811320754717,687
21,0.09641336447045563,0.02795122297545305,-0.6830556629910973,0.4894687205281358,702
22,-0.3187170105086772,-0.09418205167611637,-0.8369666029673457,0.4781515246777743,699
23,-0.23482637870958228,-0.06775062983581326,-0.8715251143307754,0.46807172066687636,714
24,-0.25782849301863464,-0.07337111673282826,-0.7486539248384387,0.4652624960704181,725
25,0.058066944629613315,0.01710808063309477,-0.5564894428617493,0.4743145288370627,664
26,-0.15697966981350653,-0.046166431941870534,-0.7118871254712411,0.47849293563579276,692
27,-0.25234277676515965,-0.07204925190441647,-0.750843001109778,0.46547394852479596,697
28,-0.44082265284979294,-0.1277501721273797,-0.8693998352381106,0.47077309868007544,695
29,0.5856682253223774,0.17194715644261538,-0.43505127272878985,0.4921580928481807,682
30,-0.2884136371030809,-0.08480678416976895,-0.8061362406007191,0.4688380833072346,691
31,-0.028220229949813474,-0.008309344466509216,-0.6772389663948528,0.48475322225715184,678
32,-0.44607609841310336,-0.1299058309865303,-0.9194513286129968,0.46984924623115576,710
33,-0.3687035849721754,-0.10773671885768477,-0.8533125094965929,0.46492607738282477,706
34,-0.5353259616805534,-0.15417808146566692,-0.9436594183126976,0.46190176322418136,721
35,-0.25368775305892555,-0.07433853779967814,-0.6658151882122957,0.46010722169662566,662
36,-0.20858258969686985,-0.06136566261608556,-0.7823062439273256,0.4724929267525935,678
37,-0.41452463627240577,-0.11943492502832098,-0.8747522567487978,0.4728243795161797,726
38,-0.570185797507726,-0.16400714919758808,-0.9284473555360822,0.47232704402515724,698
39,0.06834669337313279,0.020131267865400426,-0.5992231714112406,0.4896356783919598,661
40,-0.23802543804126142,-0.06950914041288903,-0.7978515060952225,0.4783155248271527,692
41,-0.06532365131738335,-0.018857693822792343,-0.773724765529356,0.46277097078228085,723
42,-0.045058486879898586,-0.013347156085781187,-0.6545884737191481,0.48,656
43,0.3233679992914245,0.09405739210011732,-0.5248575221137735,0.48051539912005026,672
44,0.11641888626717309,0.03438828857315279,-0.6485068461540038,0.48238993710691824,642
45,0.5895832243235666,0.1746723937060708,-0.4148139053480421,0.49010367577756836,656
46,-0.3750343123117079,-0.10895625614693183,-0.7920575892354521,0.4658267716535433,682
47,0.09931869463450863,0.028458924028052612,-0.6887004475525661,0.4753686852839661,720
48,0.31123232987215427,0.09173311053896316,-0.49697297905070437,0.49041784480050266,673
49,-0.5112108912730402,-0.14873013144167324,-0.9340765374821752,0.4684144030322173,664
50,-0.5026145723586841,-0.14709701414592846,-0.9065685324405914,0.47555976032797226,693
51,-0.3184845858437277,-0.09284905319984493,-0.7668106377222973,0.46729559748427674,707
52,-0.5223209450401521,-0.15198204370954804,-0.9115523039643267,0.46277097078228085,700
53,-0.19665798434732376,-0.058043328229239965,-0.7123505231806125,0.4776729559748428,658
54,0.02632705049063431,0.007697124519625342,-0.6044325186820838,0.4762503932054105,696
55,-0.31670360952153814,-0.09260663917520384,-0.81943250936938,0.46949685534591196,694
